Keyspace_Name,columnfamily_name,bloom_filter_fp_chance,caching,cf_id,comment,compaction_strategy_class,compaction_strategy_options,comparator,compression_parameters,default_time_to_live,default_validator,dropped_columns,gc_grace_seconds,is_dense,key_validator,local_read_repair_chance,max_compaction_threshold,max_index_interval,memtable_flush_period_in_ms,min_compaction_threshold,min_index_interval,read_repair_chance,speculative_retry,subcomparator,type
system_auth,resource_role_permissons_index,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",5f2fbdad-91f1-3946-bd25-d5da3a5c35ec,index of db roles with permissions granted on a resource,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type)","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,7776000,False,org.apache.cassandra.db.marshal.UTF8Type,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system_auth,role_members,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",0ecdaa87-f8fb-3e60-88d1-74fb36fe5c0d,role memberships lookup table,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type)","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,7776000,False,org.apache.cassandra.db.marshal.UTF8Type,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system_auth,role_permissions,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",3afbe79f-2194-31a7-add7-f5ab90d8ec9c,permissions granted to db roles,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.ColumnToCollectionType(7065726d697373696f6e73:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)))","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,7776000,False,org.apache.cassandra.db.marshal.UTF8Type,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system_auth,roles,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",5bc52802-de25-35ed-aeab-188eecebb090,role definitions,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.ColumnToCollectionType(6d656d6265725f6f66:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)))","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,7776000,False,org.apache.cassandra.db.marshal.UTF8Type,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
stockmarket,datasource,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",9eb41070-d7b6-11e7-a97a-5df6878cb053,,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type),"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,864000,False,org.apache.cassandra.db.marshal.UTF8Type,0.1,32,2048,0,4,128,0.0,99.0PERCENTILE,,Standard
OpsCenter,backup_reports,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c06d1b70-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.ReversedType(org.apache.cassandra.db.marshal.TimestampType),org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type)","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,864000,False,org.apache.cassandra.db.marshal.UTF8Type,0.1,32,2048,0,4,128,0.0,99.0PERCENTILE,,Standard
OpsCenter,bestpractice_results,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c03e9160-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""4"",""max_threshold"":""32""}",org.apache.cassandra.db.marshal.ReversedType(org.apache.cassandra.db.marshal.IntegerType),"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,32,2048,0,4,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,events,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c0936820-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""8"",""max_threshold"":""12""}",org.apache.cassandra.db.marshal.UTF8Type,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,864000,False,org.apache.cassandra.db.marshal.UTF8Type,0.1,12,2048,0,8,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,events_timeline,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c0cb6810-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""4"",""max_threshold"":""8""}",org.apache.cassandra.db.marshal.LongType,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,864000,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,8,2048,0,4,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,pdps,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c0fa1930-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""4"",""max_threshold"":""32""}",org.apache.cassandra.db.marshal.UTF8Type,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,32,2048,0,4,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,rollups300,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c14fb340-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""4"",""max_threshold"":""16""}",org.apache.cassandra.db.marshal.IntegerType,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,16,2048,0,4,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,rollups60,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c1210220-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""4"",""max_threshold"":""32""}",org.apache.cassandra.db.marshal.IntegerType,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,32,2048,0,4,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,rollups7200,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c17e6460-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""2"",""max_threshold"":""8""}",org.apache.cassandra.db.marshal.IntegerType,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,8,2048,0,2,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,rollups86400,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c1ad1580-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""2"",""max_threshold"":""8""}",org.apache.cassandra.db.marshal.IntegerType,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.1,8,2048,0,2,128,0.25,99.0PERCENTILE,,Standard
OpsCenter,settings,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c1dbedb0-d79e-11e7-a97a-5df6878cb053,"{""info"": ""OpsCenter management data."", ""version"": [5, 2, 1]}",org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""8"",""max_threshold"":""12""}",org.apache.cassandra.db.marshal.BytesType,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,864000,True,org.apache.cassandra.db.marshal.BytesType,0.1,12,2048,0,8,128,1.0,99.0PERCENTILE,,Standard
system_distributed,parent_repair_history,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",deabd734-b99d-3b9c-92e5-fd92eb5abf14,Repair history,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.ColumnToCollectionType(636f6c756d6e66616d696c795f6e616d6573:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type),7265717565737465645f72616e676573:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type),7375636365737366756c5f72616e676573:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)))","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,False,org.apache.cassandra.db.marshal.TimeUUIDType,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system_distributed,repair_history,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",759fffad-624b-3181-80ee-fa9a52d1f627,Repair history,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.TimeUUIDType,org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.ColumnToCollectionType(7061727469636970616e7473:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.InetAddressType)))","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,False,"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.UTF8Type)",0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system,IndexInfo,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",9f5c6374-d485-3229-9a0a-5094af9ad1e3,built column indexes,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},org.apache.cassandra.db.marshal.UTF8Type,"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,True,org.apache.cassandra.db.marshal.UTF8Type,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system,available_ranges,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",c539fcab-d65a-31d1-8133-d25605643ee3,Available keyspace/ranges during bootstrap/replace that are ready to be served,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,{},"org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.ColumnToCollectionType(72616e676573:org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.BytesType)))","{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,False,org.apache.cassandra.db.marshal.UTF8Type,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
system,batchlog,0.01,"{""keys"":""ALL"", ""rows_per_partition"":""NONE""}",0290003c-977e-397c-ac3e-fdfdc01d626b,batches awaiting replay,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy,"{""min_threshold"":""2""}",org.apache.cassandra.db.marshal.CompositeType(org.apache.cassandra.db.marshal.UTF8Type),"{""sstable_compression"":""org.apache.cassandra.io.compress.LZ4Compressor""}",0,org.apache.cassandra.db.marshal.BytesType,,0,False,org.apache.cassandra.db.marshal.UUIDType,0.0,32,2048,3600000,4,128,0.0,99.0PERCENTILE,,Standard
